datetime,open,close,high,low,volume,money,open_interest
2024-07-25 21:45:00,768.081,770.567,771.607,767.696,27949.0,2157142800.0,772491.0
2024-07-25 22:00:00,770.607,771.16,772.589,770.183,22963.0,1775558550.0,772666.0
2024-07-25 22:15:00,771.468,770.853,772.8,770.119,15985.0,1235435800.0,770063.0
2024-07-25 22:30:00,770.818,771.578,772.842,770.818,11389.0,881551850.0,770714.0
2024-07-25 22:45:00,771.803,773.279,774.348,771.047,19930.0,1546410800.0,766967.0
2024-07-25 23:00:00,773.525,774.773,777.134,773.264,31892.0,2479894750.0,760892.0
2024-07-26 09:15:00,773.854,773.679,777.206,771.867,44626.0,3454913750.0,755883.0
2024-07-26 09:30:00,773.492,774.334,775.352,772.889,15331.0,1187594900.0,754509.0
2024-07-26 09:45:00,774.413,777.954,778.148,774.218,19170.0,1489726850.0,752195.0
2024-07-26 10:00:00,778.496,779.894,782.035,778.31,38858.0,3038016650.0,749290.0
2024-07-26 10:15:00,780.099,775.788,780.099,774.978,19329.0,1504308550.0,748498.0
2024-07-26 10:45:00,774.901,775.367,775.984,773.387,20164.0,1563970850.0,747987.0
2024-07-26 11:00:00,775.106,775.001,775.722,773.157,9816.0,761618600.0,748156.0
2024-07-26 11:15:00,775.071,775.263,776.352,774.064,7018.0,545338150.0,748792.0
2024-07-26 11:30:00,775.075,774.121,778.238,773.729,13767.0,1069488250.0,747533.0
2024-07-26 13:45:00,774.143,774.924,775.595,773.103,9661.0,748239500.0,747144.0
2024-07-26 14:00:00,774.737,775.58,776.858,773.426,9239.0,718409900.0,745644.0
2024-07-26 14:15:00,775.578,776.064,778.723,774.782,16687.0,1296269450.0,746162.0
2024-07-26 14:30:00,776.32,775.307,776.967,774.142,10006.0,776613850.0,745907.0
2024-07-26 14:45:00,775.289,772.094,775.95,771.301,19451.0,1507027900.0,743728.0
2024-07-26 15:00:00,771.858,771.033,774.07,769.518,33175.0,2563693700.0,741922.0
2024-07-26 21:15:00,771.386,769.266,772.229,767.4,41867.0,3230969200.0,745876.0
2024-07-26 21:30:00,769.32,771.654,773.258,768.883,18438.0,1425475250.0,745934.0
2024-07-26 21:45:00,771.848,771.613,772.274,770.241,8848.0,685146600.0,746097.0
2024-07-26 22:00:00,771.863,769.969,772.545,769.24,7556.0,584325650.0,746782.0
2024-07-26 22:15:00,769.937,771.168,771.741,769.222,6017.0,464758500.0,746709.0
2024-07-26 22:30:00,770.882,770.154,771.176,769.765,4045.0,312846550.0,746413.0
2024-07-26 22:45:00,770.147,772.966,772.966,767.712,14434.0,1111375850.0,746067.0
2024-07-26 23:00:00,772.627,770.542,774.076,769.937,15162.0,1172158200.0,745549.0
2024-07-29 09:15:00,769.962,774.498,775.841,767.984,41650.0,3221125150.0,746254.0
2024-07-29 09:30:00,774.538,765.917,774.992,765.724,27211.0,2100023950.0,750034.0
2024-07-29 09:45:00,765.63,763.911,765.872,762.426,39688.0,3035892600.0,751299.0
2024-07-29 10:00:00,763.753,766.143,766.351,759.546,33885.0,2590082350.0,749724.0
2024-07-29 10:15:00,765.907,768.505,768.919,764.811,17946.0,1377021450.0,749251.0
2024-07-29 10:45:00,768.353,767.577,769.617,765.374,14380.0,1107361550.0,748820.0
2024-07-29 11:00:00,767.877,767.84,768.543,765.815,8930.0,686604400.0,748850.0
2024-07-29 11:15:00,768.076,764.964,768.264,764.521,9119.0,700546700.0,748016.0
2024-07-29 11:30:00,764.931,768.019,768.255,762.937,15054.0,1156659250.0,747356.0
2024-07-29 13:45:00,768.401,770.571,770.571,766.004,22091.0,1705364350.0,746878.0
2024-07-29 14:00:00,770.639,769.975,773.72,769.191,23432.0,1813417050.0,746134.0
2024-07-29 14:15:00,770.202,772.98,773.013,769.668,11109.0,858034150.0,747014.0
2024-07-29 14:30:00,773.052,770.583,773.494,769.293,13198.0,1021394700.0,747866.0
2024-07-29 14:45:00,770.79,769.213,772.212,768.474,9159.0,707159650.0,747951.0
2024-07-29 15:00:00,769.15,770.377,772.03,765.362,27660.0,2131070700.0,746373.0
2024-07-29 21:15:00,772.009,772.746,776.893,770.496,44068.0,3422421850.0,750186.0
2024-07-29 21:30:00,772.325,770.723,773.343,770.52,16247.0,1259598700.0,751906.0
2024-07-29 21:45:00,770.445,764.929,770.859,764.747,30466.0,2345113550.0,755712.0
2024-07-29 22:00:00,764.68,765.661,766.808,763.462,20110.0,1543398650.0,756089.0
2024-07-29 22:15:00,765.62,765.04,766.001,763.731,12142.0,930005400.0,757236.0
2024-07-29 22:30:00,764.859,765.799,768.251,763.912,13083.0,1005366200.0,757037.0
2024-07-29 22:45:00,765.937,764.813,766.736,764.614,9571.0,732307600.0,757695.0
2024-07-29 23:00:00,765.077,764.16,765.887,763.64,9891.0,758550550.0,755620.0
2024-07-30 09:15:00,764.541,765.152,767.254,763.947,16461.0,1262578450.0,756061.0
2024-07-30 09:30:00,765.208,760.998,765.643,760.117,30353.0,2315686400.0,757857.0
